cassette_number,cassette_code,substrate_barcode,pallette_number,run
Cassette 02,A000091,000001E000287578,0,20
Cassette 02,A000091,000001E000287510,1,20
Cassette 02,A000091,000001E000287511,2,20
Cassette 02,A000091,000001E000287512,3,20
Cassette 02,A000091,000001E000287513,4,20
Cassette 02,A000091,000001E000287514,5,20
Cassette 02,A000091,000001E000287516,6,20
Cassette 02,A000091,000001E000287517,7,20
Cassette 02,A000091,000001E000287518,8,20
Cassette 02,A000091,000001E000287520,9,20
Cassette 02,A000091,000001E000287521,10,20
Cassette 02,A000091,000001E000287522,11,20
Cassette 02,A000091,000001E000287523,12,20
Cassette 02,A000091,000001E000287524,13,20
Cassette 02,A000091,000001E000287525,14,20
Cassette 02,A000091,000001E000287526,15,20
Cassette 02,A000091,000001E000287527,16,20
Cassette 02,A000091,000001E000287528,17,20
Cassette 02,A000091,000001E000287529,18,20
Cassette 02,A000091,000001E000287530,19,20
Cassette 02,A000091,000001E000287531,20,20
Cassette 02,A000091,000001E000287532,21,20
Cassette 02,A000091,000001E000287533,22,20
Cassette 02,A000091,000001E000287534,23,20
Cassette 02,A000091,000001E000287535,24,20
Cassette 02,A000091,000001E000287536,25,20
Cassette 03,A000061,000001E000287579,0,20
Cassette 03,A000061,000001E000287484,1,20
Cassette 03,A000061,000001E000287485,2,20
Cassette 03,A000061,000001E000287486,3,20
